Date,Title,Link,Image
02/26/1993,Explosion at the WTC,https://en.wikipedia.org/wiki/1993_World_Trade_Center_bombing,https://www.911memorial.org/sites/default/files/styles/article_middle/public/articles/tanenbaum1640x304_0.jpg
07/19/1993,"Clinton implements the ""Don't ask, don’t tell"" policy","https://en.wikipedia.org/wiki/Don%27t_ask,_don%27t_tell",https://fortunedotcom.files.wordpress.com/2018/07/bill-clinton-dont-ask-dont-tell.jpg
09/22/1993,Clinton unveils healtcare plan,https://en.wikipedia.org/wiki/Clinton_health_care_plan_of_1993,http://radio.foxnews.com/wp-content/uploads/2012/06/6-7-clinton.jpg
12/08/1993,The NAFTA is signed,https://www.politico.com/story/2018/12/08/clinton-signs-nafta-into-law-dec-8-1993-1040789,http://img.timeinc.net/time/daily/2008/0812/360_nafta_1229.jpg
09/13/1994,Clinton expands law enforcement and widens death penalty,https://en.wikipedia.org/wiki/Violent_Crime_Control_and_Law_Enforcement_Act,https://ichef.bbci.co.uk/news/624/cpsprodpb/5690/production/_89206122_clintonpolicehires18cities$106millionchicagosuperintendentterryhiliard.jpg
04/10/1996,President Clinton advocates for safe abortions,http://harvardpolitics.com/united-states/safe-legal-and-rare-the-democrats-evolving-stance-on-abortion/,http://www.findingtruthmatters.org/articles/safe-legal-rare-myth/clinto-safe-legal-rare.jpg
12/19/1998,The house of Representatives votes to impeach Clinton,https://en.wikipedia.org/wiki/Impeachment_of_Bill_Clinton,https://s.abcnews.com/images/Politics/bill-clnton-impeachment-gty-jpo-171116_4x3_992.jpg
,,,
