Date,Title,Link,Image
04/16/1953,Eisenhower delivers Change for Peace speech,https://en.wikipedia.org/wiki/Chance_for_Peace_speech,https://weekidmuze.files.wordpress.com/2013/01/eisenhower-change-for-peace-speech-intro.jpeg
06/19/1953,The Rosenberg execution,https://en.wikipedia.org/wiki/Julius_and_Ethel_Rosenberg,https://www.history.com/.image/t_share/MTU4NTYzMTY5NzU5OTI5NjAy/rosenbergs-113633245.jpg
12/08/1953,Atoms for Peace speech,https://en.wikipedia.org/wiki/Atoms_for_Peace,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Atoms_for_Peace_stamp.jpg/330px-Atoms_for_Peace_stamp.jpg
07/18/1955,The Geneva conventions,https://www.history.com/topics/world-war-ii/geneva-convention,http://www.doomsteaddiner.net/blog/wp-content/uploads/2016/02/geneva_conventions.jpg
10/31/1956,Eisenhower condemns the attack on Egypt,https://en.wikipedia.org/wiki/Suez_Crisis,https://upload.wikimedia.org/wikipedia/commons/1/1d/Tanks_Destroyed_Sinai.jpg
09/24/1957,Eisenhower sends federal troops to Little Rock,https://en.wikipedia.org/wiki/Little_Rock_Nine,https://sn56.scholastic.com/content/dam/classroom-magazines/sn56/issues/2016-17/022017/the-little-rock-nine/SN-022017-ROCK-Medium.jpg
10/25/1958,The US withdrawls from Lebanon,https://en.wikipedia.org/wiki/1958_Lebanon_crisis,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Foxhole_-_Lebanon_-_Beirut_-_July_1958.jpg/300px-Foxhole_-_Lebanon_-_Beirut_-_July_1958.jpg
