Date,Title,Link,Image
09/08/1974,Ford pardons impeached Nixon,https://en.wikipedia.org/wiki/Pardon_of_Richard_Nixon,https://static.politico.com/dims4/default/ca33b12/2147483647/resize/1160x%3E/quality/90/?url=http%3A%2F%2Fs3-origin-images.politico.com%2F2014%2F08%2F06%2Fgerald_ford_ap_605.jpg
11/17/1974,Ford is the first president to visit Japan,https://www.gilderlehrman.org/content/president-ford%E2%80%99s-remarks-japan-1974,https://geraldrfordfoundation.org/wp-content/uploads/2015/03/BN-HG786_jmiche_G_20150305235900.jpg
03/27/1975,The fall of Saigon,https://en.wikipedia.org/wiki/Fall_of_Saigon,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwChmhJ4BCjblUXUrksaxViEWzr1JYafWkQYR6twq9ikZ1WRfc
11/02/1975,"The ""Sunday Morning Massacre""",https://www.history.com/topics/us-presidents/gerald-fords-sunday-morning-massacre-video,https://www.history.com/.image/t_share/MTU3ODc3NjU2MjE1MjM0Mjcx/gerald-fords-sunday-morning-massacre.jpg
