Date,Title,Link,Image
09/08/1974,Ford pardons Nixon,https://en.wikipedia.org/wiki/Pardon_of_Richard_Nixon,https://static.politico.com/dims4/default/ca33b12/2147483647/resize/1160x%3E/quality/90/?url=http%3A%2F%2Fs3-origin-images.politico.com%2F2014%2F08%2F06%2Fgerald_ford_ap_605.jpg
03/27/1975,Saigon falls,https://en.wikipedia.org/wiki/Fall_of_Saigon,https://images.newrepublic.com/bbf493cf72fddfe9e5aab68dd1cb818cd27e85b7.jpeg
09/05/1975,Attempted assassination on Ford,https://en.wikipedia.org/wiki/Gerald_Ford_assassination_attempt_in_Sacramento,https://upload.wikimedia.org/wikipedia/commons/1/1e/Ford_rushed_from_Sacramento_assassination_attempt_image_A6320-24A.jpg
09/05/1978,Camp David accords signed,https://en.wikipedia.org/wiki/Camp_David_Accords,https://cdn.cnn.com/cnnnext/dam/assets/130729140854-06-middle-east-peace-horizontal-large-gallery.jpg
07/15/1979,Carter gives Malaise speech,https://www.americanrhetoric.com/speeches/jimmycartercrisisofconfidence.htm,https://thewayofimprovement.files.wordpress.com/2018/07/malaise.jpg?w=676
