Date,Title,Link,Image
04/15/1961,Bay of Pigs,https://en.wikipedia.org/wiki/Bay_of_Pigs_Invasion,http://cdn.history101.com/wp-content/uploads/2018/04/1989-011-21739.jpg
05/05/1961,The first American in space,https://www.space.com/17385-alan-shepard-first-american-in-space.html,https://www.nasa.gov/images/content/58853main_image_feature_171_jw4.jpg
05/25/1961,Kennedy plans on sending a man to the moon,https://history.nasa.gov/moondec.html,https://history.nasa.gov/1658.jpg
02/20/1962,John Glenn orbits the earth,https://www.nasa.gov/centers/glenn/about/bios/mercury_mission.html,https://cdn1.thr.com/sites/default/files/imagecache/landscape_928x523/2016/12/john_glenn_suited_up.jpg
10/16/1962,The Cuba Crisis,https://en.wikipedia.org/wiki/Cuban_Missile_Crisis,https://i.ytimg.com/vi/9_2NsHeLDIE/maxresdefault.jpg
06/26/1963,"""Ich bin ein Berliner""",https://en.wikipedia.org/wiki/Ich_bin_ein_Berliner,https://1afp1n312x7r1bwsoh4d0pw8-wpengine.netdna-ssl.com/wp-content/uploads/2014/11/Schermafbeelding-2014-11-06-om-11.48.36-w855h425.png
10/07/1963,Kennedy sings nuclear test-ban,https://www.jfklibrary.org/learn/about-jfk/jfk-in-history/nuclear-test-ban-treaty,https://www.history.com/.image/t_share/MTU3ODc5MDgyNDAzODk5MTAz/president-kennedy-signs-the-nuclear-test-ban-treaty-in-the-white-house-treaty-room-with-vice-president-lyndon-b-johnson-and-house-and-senate-members-looking-on-october-7-1963.jpg
