Date,Title,Link,Image
01/21/2017,Largest women's march in Washington DC,https://en.wikipedia.org/wiki/2017_Women%27s_March,https://cdn.cnn.com/cnnnext/dam/assets/170121143229-womens-march-london-0121-full-169.jpg
01/27/2017,Trump signs a travel ban for Syrian refugees,https://edition.cnn.com/2017/02/10/us/trump-travel-ban-timeline/index.html,https://cdn.cnn.com/cnnnext/dam/assets/180626094954-04-travel-ban-lead-image-super-tease.jpg
05/09/2017,Trump fires Comey over Clinton investigation,https://www.nytimes.com/2017/05/09/us/politics/james-comey-fired-fbi.html?_r=0,https://cdn.cnn.com/cnnnext/dam/assets/170509184450-0509-comey-trump-split-exlarge-tease.jpg
09/22/2017,NFL players kneel during anthem,http://time.com/4954684/donald-trump-nfl-speech-anthem-protests/,https://static01.nyt.com/images/2018/05/24/sports/24nfl-print/24nfl-web-articleLarge.jpg?quality=75&auto=webp&disable=upscale
