Date,Title,Link,Image
03/30/1981,Reagan shot in the chest,https://en.wikipedia.org/wiki/Attempted_assassination_of_Ronald_Reagan,https://cdnph.upi.com/svc/sv/upi/2017354776400/1981/1/8046f1b857c3d040d6e7e0293193e3a8/President-Reagan-shot-in-the-chest-outside-Washington-hotel.jpg
03/23/1983,Reagan endorses the SDI,https://en.wikipedia.org/wiki/Strategic_Defense_Initiative,https://www.saundersinsignia.com/images/products/detail/detail_96AL.jpg
11/19/1985,Reagan meets Gorbachev in Geneva,https://en.wikipedia.org/wiki/Geneva_Summit_(1985),https://upload.wikimedia.org/wikipedia/commons/0/09/Gorbachev_and_Reagan_1985-7.jpg
12/07/1987,Reagan and Gorbachev sign the INF treaty,https://en.wikipedia.org/wiki/Intermediate-Range_Nuclear_Forces_Treaty,https://cfrd8-files.cfr.org/sites/default/files/styles/article_header_l_16x9_600px/public/image/2017/10/INFTreaty.jpg
05/29/1988,Reagan visists the Soviet Union for the first time,https://en.wikipedia.org/wiki/Moscow_Summit_(1988),https://upload.wikimedia.org/wikipedia/commons/3/3c/President_Reagan_and_Soviet_General_Secretary_Gorbachev_signing_the_INF_treaty.jpg
