Date,Title,Link,Image
01/22/2009,Obama signs executive order to close Guantanamo Bay,https://en.wikipedia.org/wiki/Executive_Order_13492,https://static01.nyt.com/images/2009/01/22/us/22obama-600.jpg
10/09/2009,Obama is awarded the Nobel Peace Price,https://en.wikipedia.org/wiki/2009_Nobel_Peace_Prize,https://www.possefoundation.org/uploads/images/_1280x800_crop_centers-center_90/Obama-Nobel-Peace-Prize.jpg
12/22/2010,"The ""Don't ask, don’t tell"" policy is repealed","https://en.wikipedia.org/wiki/Don%27t_Ask,_Don%27t_Tell_Repeal_Act_of_2010",https://static01.nyt.com/images/2010/12/23/us/23militaryspan-cnd/23militaryspan-cnd-jumbo.jpg
05/01/2011,Osama bin Laden is killed,https://en.wikipedia.org/wiki/Death_of_Osama_bin_Laden,http://media.syracuse.com/news/photo/2011/05/nypost-bin-ladenjpg-aebfa5e81bd7d1d2.jpg
10/21/2011,The end of the Iraq war,https://www.nytimes.com/2011/12/16/opinion/a-formal-end-to-the-iraq-war.html,https://www.cfr.org/blogs.dir/11/files/2011/12/AF-Iraq.gif
01/17/2016,Nuclear weapon deal with Iran,https://www.bbc.com/news/world-middle-east-35335078,https://cdn.newspunch.com/wp-content/uploads/2018/07/obama-iran-deal-678x381.jpeg
