Date,Title,Link,Image
01/22/2001,Bush bans abortion aid,https://abcnews.go.com/Politics/story?id=121988&page=1,https://upload.wikimedia.org/wikipedia/commons/6/61/George_Bush_signs_the_Federal_Funding_Accountability_and_Transparency_Act_of_2006.jpg
03/29/2001,The Kyoto protocol is rejected,https://www.theguardian.com/environment/2001/mar/29/globalwarming.usnews,https://static.politico.com/dims4/default/30eec8f/2147483647/resize/1160x%3E/quality/90/?url=https%3A%2F%2Fstatic.politico.com%2F40%2Fd4%2F5b1f85304cf08fa6841219aec628%2F151125-george-bush-climate-gty-1160.jpg
09/11/2001,9/11 terrorist attacks on the Twin Towers,https://en.wikipedia.org/wiki/September_11_attacks,https://images.interactives.dk/9-11-sawB-NrwvoQPuvUb0iEKFg.jpeg
10/07/2001,"Bush starts operation ""Enduring Freedom""",https://en.wikipedia.org/wiki/Operation_Enduring_Freedom,https://georgewbush-whitehouse.archives.gov/infocus/defense/images/enduring_freedom.jpg
03/19/2003,Bush declares war on Iraq,https://www.nationalgeographic.org/thisday/mar19/us-declares-war-iraq/,https://media.nationalgeographic.org/assets/photos/000/273/27367.jpg
03/25/2003,Tax cuts reduced to fund war,https://www.cbpp.org/research/federal-tax/the-legacy-of-the-2001-and-2003-bush-tax-cuts,http://america.aljazeera.com/content/ajam/opinions/2014/9/tax-cuts-economicsreaganbush/_jcr_content/mainpar/adaptiveimage/src.adapt.480.low.Bush_tax-cuts_2001a.jpg
10/29/2004,Bin Laden addresses America,https://www.nytimes.com/2004/10/30/world/middleeast/in-video-message-bin-laden-issues-warning-to-us.html,https://cdn.cnn.com/cnnnext/dam/assets/150311130925-34-obl-photos-gx-2067-obl-film3-59-super-169.jpg
12/30/2006,Saddam Hussein is hanged,https://en.wikipedia.org/wiki/Execution_of_Saddam_Hussein,http://www.chinadaily.com.cn/world/2006-12/30/xin_1411030610236532490738.jpg
