Date,Title,Link,Image
06/08/1969,Nixon announces unit withdraw from Vietnam,https://www.politico.com/story/2012/07/nixon-signals-us-troop-withdrawals-from-vietnam-078905,https://millercenter.org/sites/default/files/%5Bdate%3Acustom%3AY%5D-%5Bdate%3Acustom%3Am%5D/Nixon%20announces%20entry%20of%20US%20in%20Cambodia300.jpeg
07/25/1969,The Nixon Doctrine,https://en.wikipedia.org/wiki/Nixon_Doctrine,https://www.historyonthenet.com/wp-content/uploads/2017/04/nixon-doctrine.jpg
06/13/1971,The Pentagon Papers,https://en.wikipedia.org/wiki/Pentagon_Papers,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/TIME_Magazine_-_Pentagon_Papers_cover.jpg/220px-TIME_Magazine_-_Pentagon_Papers_cover.jpg
02/21/1972,Nixon goes to China,https://en.wikipedia.org/wiki/Richard_Nixon%27s_1972_visit_to_China,https://upload.wikimedia.org/wikipedia/commons/4/49/Nixon_shakes_hands_with_Chou_En-lai.jpg
06/17/1972,The Watergate Scandal,https://en.wikipedia.org/wiki/Watergate_scandal,https://cdn.vox-cdn.com/thumbor/JDNSnNA-NFCh_2gzPmVNEqVO0r0=/0x0:1632x1065/1200x675/filters:focal(665x511:925x771)/cdn.vox-cdn.com/uploads/chorus_image/image/59506961/20180419_Watergate_60e.0.jpg
08/08/1974,Nixon resigns,https://www.history.com/this-day-in-history/nixon-resigns,http://www.bl.uk/learning/timeline/external/newsnixongoodbye-tl.jpg
