Date,Title,Link,Image
12/02/1989,Bush and Gorbachev talk nuclear disarmament,https://en.wikipedia.org/wiki/Malta_Summit,https://pastdaily.com/wp-content/uploads/2014/12/Bush-Gorbachev-Malta-Summit-Dec.-1989-resize.jpg
10/22/1990,President Bush vetoes Civil Rights Act,https://eu.usatoday.com/story/news/2018/12/03/george-h-w-bush-race-civil-rights-war-drugs/2197675002/,https://cdn.cnn.com/cnnnext/dam/assets/121102125309-42-george-h-w-bush-president-story-top.jpg
01/17/1991,The beginning of the Gulf War: Operation Desert Storm,https://en.wikipedia.org/wiki/Gulf_War,"https://i.kinja-img.com/gawker-media/image/upload/s--oX7r9P-j--/c_scale,f_auto,fl_progressive,q_80,w_800/cxskqff3oivu5e1n3ezx.jpg"
11/21/1991,Bush signs the Civil Rights act,https://en.wikipedia.org/wiki/Civil_Rights_Act_of_1991,https://s3.amazonaws.com/s3.timetoast.com/public/uploads/photos/11912038/presbush.jpg?
02/01/1992,Bush meets with Yeltsin to end the cold war,https://www.nytimes.com/1992/02/02/world/bush-and-yeltsin-declare-formal-end-to-cold-war-agree-to-exchange-visits.html,http://i26.tinypic.com/wuiedf.jpg
